"table","fieldName","description","dataType","units","downloadPkg","pubFormat"
science_review_flags,srfID,"Record identifier for science review flag",integer,NA,basic,asIs
science_review_flags,startDateTime,"Date and time at which a sampling is initiated",dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'
science_review_flags,endDateTime,"Date and time at which a sampling is completed",dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'
science_review_flags,domainID,"Unique identifier of the NEON domain",string,NA,basic,asIs
science_review_flags,siteID,"NEON site code",string,NA,basic,asIs
science_review_flags,dpID,"Data product identifier in the form of DPL.DPNUM.REV where DPL indicates data product level (0-4), DPNUM indicates a five-numeral identification number for the data product, and REV indicates a revision number.",string,NA,basic,asIs
science_review_flags,fieldName,"Parameter name in data file",string,NA,basic,asIs
science_review_flags,horizontalPosition,"A three-character alphanumeric code for the measurement locations within one horizontal plane. For example, if one surface measurement were made at each of five soil array plots, the number in the HOR field would range from 001-005.",string,NA,basic,asIs
science_review_flags,verticalPosition,"A three-character alphanumeric code for the measurement locations within one vertical plane. For example, if one temperature measurement is made at each vertical level of a tower with 8 levels, the number in the VER field would range from 010-080.",string,NA,basic,asIs
science_review_flags,srfValue,"Value of the science review quality flag (0=previous quality concern resolved and final quality flag correctly reflects data quality; 1=fail but data retained and may be useful with additional corrections or filtering; 2=fail and data redacted; Empty=not reviewed)",integer,NA,basic,asIs
science_review_flags,srfValueJustification,"Justification for srfValue. Updates to srfValue will be documented by multiple justifications separated by colon symbols.",string,NA,basic,asIs
science_review_flags,createDateTime,"The date and time the science review flag was first generated",dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'
science_review_flags,lastUpdateDateTime,"The date and time the science review flag was last updated",dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'
